Date,Time,Game ID,Elo,Outcome,Side,Country
4/30/2025,11:59:59 PM,268,269,Win,Black,Netherlands
4/30/2025,11:59:59 PM,269,261,Loss,White,USA
4/30/2025,11:59:59 PM,270,261,Draw,Black,Dominican Republic
4/30/2025,11:59:59 PM,271,269,Win,White,Iran
5/1/2025,11:59:59 PM,272,277,Win,White,India
5/1/2025,11:59:59 PM,273,285,Win,White,Switzerland
5/1/2025,11:59:59 PM,274,285,Draw,Black,South Africa
5/1/2025,11:59:59 PM,275,293,Win,White,France
5/1/2025,11:59:59 PM,276,293,Draw,Black,Vietnam
5/1/2025,11:59:59 PM,277,285,Loss,White,Mexico
5/1/2025,11:59:59 PM,278,286,Draw,White,USA
5/1/2025,11:59:59 PM,279,278,Loss,Black,Peru
5/1/2025,11:59:59 PM,280,270,Loss,Black,USA
5/3/2025,11:59:59 PM,281,278,Win,White,Brazil
5/3/2025,11:59:59 PM,282,286,Win,Black,Mexico
5/7/2025,11:59:59 PM,283,294,Win,White,France
5/7/2025,11:59:59 PM,284,302,Win,White,Philippines
5/9/2025,11:59:59 PM,285,311,Win,Black,Dominican Republic
5/9/2025,11:59:59 PM,286,303,Loss,Black,Albania
5/9/2025,11:59:59 PM,287,295,Loss,White,Brazil
5/9/2025,11:59:59 PM,288,303,Win,Black,Philippines
5/9/2025,11:59:59 PM,289,295,Loss,White,Saudi Arabia
5/10/2025,11:59:59 PM,290,303,Win,Black,France
5/10/2025,11:59:59 PM,291,295,Loss,White,Russia
5/10/2025,11:59:59 PM,292,303,Win,White,Italy
5/10/2025,11:59:59 PM,293,311,Win,Black,Poland
5/10/2025,11:59:59 PM,294,319,Win,White,France
5/10/2025,11:59:59 PM,295,327,Win,Black,USA
5/10/2025,11:59:59 PM,296,327,Draw,Black,Spain
5/11/2025,11:59:59 PM,297,319,Loss,White,Indonesia
5/12/2025,11:59:59 PM,298,311,Loss,Black,USA
5/12/2025,11:59:59 PM,299,303,Loss,White,Mexico
5/15/2025,11:59:59 PM,300,294,Loss,Black,Denmark
5/15/2025,11:59:59 PM,301,286,Loss,White,France
5/15/2025,11:59:59 PM,302,278,Loss,Black,Ukraine
5/15/2025,11:59:59 PM,303,270,Loss,Black,Switzerland
5/15/2025,11:59:59 PM,304,278,Win,White,Bolivia
5/15/2025,11:59:59 PM,305,278,Draw,Black,Peru
5/15/2025,11:59:59 PM,306,269,Loss,White,Indonesia
5/15/2025,11:59:59 PM,307,261,Loss,White,USA
5/16/2025,11:59:59 PM,308,269,Win,White,India
5/16/2025,11:59:59 PM,309,277,Win,White,Sweden
5/16/2025,11:59:59 PM,310,285,Win,Black,Italy
5/16/2025,11:59:59 PM,311,293,Win,White,Bolivia
5/16/2025,11:59:59 PM,312,293,Draw,Black,USA
5/17/2025,11:59:59 PM,313,285,Loss,White,Philippines
5/17/2025,11:59:59 PM,314,285,Draw,White,Bangladesh
5/17/2025,11:59:59 PM,315,293,Win,Black,USA
5/17/2025,11:59:59 PM,316,285,Loss,White,France
5/17/2025,11:59:59 PM,317,276,Loss,Black,USA
5/17/2025,11:59:59 PM,318,284,Win,Black,USA
5/17/2025,11:59:59 PM,319,276,Loss,White,USA
5/17/2025,11:59:59 PM,320,285,Win,White,India
5/17/2025,11:59:59 PM,321,285,Draw,White,Ukraine
5/18/2025,11:59:59 PM,322,293,Win,Black,Indonesia
5/18/2025,11:59:59 PM,323,285,Loss,Black,Egypt
5/18/2025,11:59:59 PM,324,277,Loss,Black,USA
5/18/2025,11:59:59 PM,325,286,Win,White,France
5/19/2025,11:59:59 PM,326,294,Win,White,Cuba
5/19/2025,11:59:59 PM,327,286,Loss,Black,Canada
5/19/2025,11:59:59 PM,328,294,Win,White,Greece
5/19/2025,11:59:59 PM,329,286,Loss,Black,Morocco
5/19/2025,11:59:59 PM,330,294,Win,White,Germany
5/19/2025,11:59:59 PM,331,286,Loss,Black,Brazil
5/19/2025,11:59:59 PM,332,278,Loss,Black,USA
5/19/2025,11:59:59 PM,333,287,Win,White,USA
5/19/2025,11:59:59 PM,334,295,Win,Black,USA
5/20/2025,11:59:59 PM,335,303,Win,White,Mayanmar
5/20/2025,11:59:59 PM,336,311,Win,White,Philippines
5/20/2025,11:59:59 PM,337,319,Win,Black,USA
5/20/2025,11:59:59 PM,338,326,Win,Black,Thailand
5/21/2025,11:59:59 PM,339,318,Loss,White,India
5/21/2025,11:59:59 PM,340,310,Loss,Black,France
5/21/2025,11:59:59 PM,341,318,Win,White,Iran
5/21/2025,11:59:59 PM,342,326,Win,Black,USA
5/21/2025,11:59:59 PM,343,317,Win,White,Brazil
5/21/2025,11:59:59 PM,344,325,Win,Black,Czech Republic
5/21/2025,11:59:59 PM,345,333,Win,White,USA
5/21/2025,11:59:59 PM,346,341,Win,Black,Mexico
5/22/2025,11:59:59 PM,347,349,Win,White,Japan
